timestamp,open,high,low,close,volume,turnover
2025-08-29 12:00:00,232.51,233.38,231.37,232.14,39418437,9157732614.0
2025-09-02 12:00:00,229.25,230.85,226.97,229.72,44075638,10137097619.0
2025-09-03 12:00:00,237.21,238.85,234.36,238.47,66427835,15745334350.0
2025-09-04 12:00:00,238.45,239.9,236.74,239.78,47549429,11340684107.0
2025-09-05 12:00:00,239.995,241.32,238.49,239.69,54870397,13151179587.0
2025-09-08 12:00:00,239.3,240.15,236.34,237.88,48999495,11671996510.0
2025-09-09 12:00:00,237.0,238.781,233.36,234.35,66313918,15622184233.0
2025-09-10 12:00:00,232.185,232.42,225.95,226.79,83440810,19006914260.0
2025-09-11 12:00:00,226.875,230.45,226.65,230.03,50208578,11503708853.0
2025-09-12 12:00:00,229.22,234.51,229.02,234.07,55824216,13014544422.0
2025-09-15 12:00:00,237.0,238.19,235.03,236.7,42699524,10091530819.0
2025-09-16 12:00:00,237.175,241.22,236.324,238.15,63421099,15147584391.0
2025-09-17 12:00:00,238.97,240.1,237.73,238.99,46508017,11124967653.0
2025-09-18 12:00:00,239.97,241.2,236.65,237.88,44249576,10533933359.0
2025-09-19 12:00:00,241.225,246.3,240.211,245.5,163741314,40029475134.0
2025-09-22 12:00:00,248.3,256.64,248.12,256.08,105517416,26779804208.0
2025-09-23 12:00:00,255.875,257.34,253.58,254.43,60275187,15380278528.0
2025-09-24 12:00:00,255.22,255.74,251.04,252.31,42303710,10672310702.0
2025-09-25 12:00:00,253.205,257.17,251.712,256.87,55202075,14066695216.0
2025-09-26 12:00:00,254.095,257.6,253.78,255.46,46076258,11770550850.0
2025-09-29 12:00:00,254.56,255.0,253.01,254.43,40127687,10193357617.0
2025-09-30 12:00:00,254.855,255.919,253.11,254.63,37704259,9597205069.0
2025-10-01 12:00:00,255.04,258.79,254.93,255.45,48713940,12470963075.0
2025-10-02 12:00:00,256.575,258.18,254.15,257.13,42630239,10949789659.0
2025-10-03 12:00:00,254.665,259.24,253.95,258.02,49155614,12675248751.0
2025-10-06 12:00:00,257.99,259.07,255.05,256.69,44664118,11472834851.0
2025-10-07 12:00:00,256.805,257.4,255.43,256.48,31955776,8193755579.0
2025-10-08 12:00:00,256.52,258.52,256.11,258.06,36496895,9409334653.0
